Orden,Intento,Cliente,DNI,Edad,Telefono,Departamento,Provincia,Distrito,Direccion,Asesor,Decos,Repetidores,Fecha_Registro,Fecha_Evaluacion_BO,Estado_BO,Motivo_Rechazo,Fecha_Programada,Fecha_Real_Instalacion,Estado_Final_Orden
ORD-000010,1,Patricia Sanchez Garcia,73440831,33,973481353,Lambayeque,Lambayeque,Íllimo,"Pje. Pedro Cieza Nro. 1834, Íllimo",Asesor - Carlos Ruiz,1,2,2023-01-01 18:41:00,2023-01-01 19:41:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000011,1,Pedro Sanchez Romero,28814949,45,934627347,Lambayeque,Chiclayo,Pimentel,"Urb. Patios del Norte Mz. A Lte. 21, Pimentel",Asesor - Carlos Ruiz,3,1,2023-01-01 11:10:00,2023-01-01 15:10:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000012,1,Carlos Vasquez Flores,71070189,36,966775103,Lambayeque,Chiclayo,Puerto Eten,"Urb. La Primavera Mz. E Lte. 7, Puerto Eten",Asesor - Luis Delgado,3,1,2023-01-01 08:47:00,2023-01-01 11:47:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000013,1,Lucia Perez Rodriguez,34941004,22,989864260,Lambayeque,Chiclayo,Pimentel,"Ca. Chinchaysuyo Nro. 262, Pimentel",Asesor - Luis Delgado,1,1,2023-01-01 17:33:00,2023-01-01 20:33:00,Rechazado Definitivo,Falta de Cobertura Técnica,,,Rechazado
ORD-000014,1,Manuel Torres Flores,63121477,26,996637649,Lambayeque,Chiclayo,Reque,"A.H. Primero de Mayo Mz. H Lte. 20, Reque",Asesor - Carlos Ruiz,3,2,2023-01-01 16:13:00,2023-01-01 19:13:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000015,1,Javier Diaz Gomez,50181935,60,923903144,Lambayeque,Ferreñafe,Pueblo Nuevo,"Av. Los Incas Nro. 2366, Pueblo Nuevo",Asesor - Maria Mendoza,1,0,2023-01-01 13:13:00,2023-01-01 16:13:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000016,1,Ana Rodriguez Castro,47135391,20,910475894,Lambayeque,Chiclayo,José Leonardo Ortiz,"Urb. Las Brisas Mz. I Lte. 23, José Leonardo Ortiz",Asesor - Carlos Ruiz,1,0,2023-01-01 10:34:00,2023-01-01 11:34:00,Devuelto a Correccion,Mala Oferta / Error en Precios,,,En Proceso
ORD-000016,2,Ana Rodriguez Castro,47135391,20,910475894,Lambayeque,Chiclayo,José Leonardo Ortiz,"Urb. Las Brisas Mz. I Lte. 23, José Leonardo Ortiz",Asesor - Carlos Ruiz,1,0,2023-01-02 02:34:00,2023-01-02 03:34:00,Aprobado (Recuperado),,2023-01-04,2023-01-04,Instalado (Recuperado)
ORD-000017,1,Carmen Perez Rojas,38195995,61,943491314,Lambayeque,Chiclayo,Reque,"A.H. San Antonio Mz. J Lte. 24, Reque",Asesor - Maria Mendoza,1,2,2023-01-01 10:56:00,2023-01-01 14:56:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000018,1,Elena Flores Martinez,24508349,42,915197528,Lambayeque,Lambayeque,Íllimo,"Pje. Pedro Cieza Nro. 1350, Íllimo",Asesor - Maria Mendoza,2,2,2023-01-01 08:42:00,2023-01-01 10:42:00,Aprobado,,2023-01-03,2023-01-03,Instalado
ORD-000019,1,Fiorella Vasquez Vargas,13704481,25,945059710,Lambayeque,Chiclayo,Monsefú,"Pje. Pedro Cieza Nro. 1384, Monsefú",Asesor - Carlos Ruiz,1,2,2023-01-02 14:57:00,2023-01-02 16:57:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000020,1,Christian Sanchez Rojas,67887757,22,999152472,Lambayeque,Ferreñafe,Manuel Antonio Mesones Muro,"Urb. San Eduardo Mz. I Lte. 10, Manuel Antonio Mesones Muro",Asesor - Sofia Castro,1,0,2023-01-02 12:35:00,2023-01-02 14:35:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000021,1,Lucia Diaz Vasquez,10054484,37,948508907,Lambayeque,Chiclayo,Pomalca,"Urb. Las Brisas Mz. H Lte. 22, Pomalca",Asesor - Sofia Castro,1,1,2023-01-02 10:42:00,2023-01-02 11:42:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000022,1,Elena Diaz Torres,36726767,27,913278320,Lambayeque,Chiclayo,Eten,"A.H. San Antonio Mz. G Lte. 29, Eten",Asesor - Sofia Castro,1,0,2023-01-02 14:31:00,2023-01-02 18:31:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000023,1,Maria Castro Torres,33607110,69,979519112,Lambayeque,Chiclayo,Puerto Eten,"Av. Tacna Nro. 646, Puerto Eten",Asesor - Luis Delgado,2,1,2023-01-02 17:20:00,2023-01-02 21:20:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000024,1,Javier Martinez Mendoza,70407340,34,943183955,Lambayeque,Lambayeque,Pacora,"A.H. Nuevo San Lorenzo Mz. D Lte. 9, Pacora",Asesor - Maria Mendoza,1,1,2023-01-02 12:21:00,2023-01-02 15:21:00,Rechazado Definitivo,Falta de Cobertura Técnica,,,Rechazado
ORD-000025,1,Jorge Garcia Torres,61410126,62,930509175,Lambayeque,Lambayeque,Mochumí,"Jr. Sáenz Peña Nro. 2008, Mochumí",Asesor - Ana Paredes,1,0,2023-01-02 14:57:00,2023-01-02 15:57:00,Rechazado Definitivo,Exceso de Equipos Solicitados,,,Rechazado
ORD-000026,1,Patricia Gomez Rojas,50079111,66,962343121,Lambayeque,Lambayeque,Olmos,"Ca. Tacna Nro. 998, Olmos",Asesor - Ana Paredes,1,1,2023-01-02 13:42:00,2023-01-02 17:42:00,Devuelto a Correccion,Teléfono de Contacto Erróneo,,,En Proceso
ORD-000026,2,Patricia Gomez Rojas,50079111,66,962343121,Lambayeque,Lambayeque,Olmos,"Ca. Tacna Nro. 998, Olmos",Asesor - Ana Paredes,1,1,2023-01-03 14:42:00,2023-01-03 17:42:00,Rechazado Definitivo,No Subsano Correccion / Cliente Desistio,,,Cancelado/Rechazado
ORD-000027,1,Carlos Vasquez Gomez,21267237,59,967527432,Lambayeque,Chiclayo,Eten,"Jr. Arequipa Nro. 1440, Eten",Asesor - Ana Paredes,1,0,2023-01-02 12:48:00,2023-01-02 16:48:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000028,1,Carlos Perez Rojas,40094589,59,919209801,Lambayeque,Lambayeque,Lambayeque,"A.H. Cruz del Médano Mz. A Lte. 20, Lambayeque",Asesor - Sofia Castro,1,0,2023-01-02 09:36:00,2023-01-02 11:36:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000029,1,Carmen Martinez Lopez,31980274,37,924508768,Lambayeque,Chiclayo,Monsefú,"Pje. Arequipa Nro. 912, Monsefú",Asesor - Sofia Castro,0,1,2023-01-02 11:06:00,2023-01-02 14:06:00,Rechazado Definitivo,Falta de Cobertura Técnica,,,Rechazado
ORD-000030,1,Katia Perez Rojas,67495923,60,959737181,Lambayeque,Chiclayo,Pátapo,"Pje. Huamachuco Nro. 2107, Pátapo",Asesor - Sofia Castro,0,2,2023-01-02 15:45:00,2023-01-02 17:45:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000031,1,Fernando Mendoza Romero,68461818,70,989520597,Lambayeque,Chiclayo,Pimentel,"Urb. Las Brisas Mz. D Lte. 25, Pimentel",Asesor - Ana Paredes,1,1,2023-01-02 13:01:00,2023-01-02 17:01:00,Rechazado Definitivo,Falta de Cobertura Técnica,,,Rechazado
ORD-000032,1,Patricia Sanchez Rojas,44675473,39,947535126,Lambayeque,Lambayeque,Pacora,"Ca. Bolognesi Nro. 1088, Pacora",Asesor - Maria Mendoza,2,1,2023-01-02 15:41:00,2023-01-02 19:41:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000033,1,Rosa Torres Diaz,59529086,48,984285882,Lambayeque,Chiclayo,Santa Rosa,"A.H. UPIS Belén Mz. L Lte. 15, Santa Rosa",Asesor - Carlos Ruiz,1,0,2023-01-02 11:20:00,2023-01-02 12:20:00,Devuelto a Correccion,Mala Oferta / Error en Precios,,,En Proceso
ORD-000033,2,Rosa Torres Diaz,59529086,48,984285882,Lambayeque,Chiclayo,Santa Rosa,"A.H. UPIS Belén Mz. L Lte. 15, Santa Rosa",Asesor - Carlos Ruiz,1,0,2023-01-02 20:20:00,2023-01-02 23:20:00,Aprobado (Recuperado),,2023-01-04,2023-01-04,Instalado (Recuperado)
ORD-000034,1,Katia Diaz Lopez,36054020,36,940532273,Lambayeque,Chiclayo,Monsefú,"Ca. Luis Gonzales Nro. 286, Monsefú",Asesor - Sofia Castro,3,1,2023-01-02 10:40:00,2023-01-02 14:40:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000035,1,Javier Vargas Martinez,16895666,34,974119726,Lambayeque,Chiclayo,La Victoria,"Av. Chinchaysuyo Nro. 319, La Victoria",Asesor - Jorge Silva,1,1,2023-01-02 09:15:00,2023-01-02 10:15:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000036,1,Fernando Torres Vasquez,70467027,46,949910061,Lambayeque,Lambayeque,Olmos,"Av. Chinchaysuyo Nro. 506, Olmos",Asesor - Maria Mendoza,3,0,2023-01-02 12:42:00,2023-01-02 13:42:00,Aprobado,,2023-01-04,2023-01-04,Instalado
ORD-000037,1,Jose Romero Mendoza,49092160,20,941068214,Lambayeque,Chiclayo,Monsefú,"Urb. La Primavera Mz. E Lte. 26, Monsefú",Asesor - Maria Mendoza,2,1,2023-01-03 14:07:00,2023-01-03 16:07:00,Aprobado,,2023-01-05,2023-01-05,Instalado
ORD-000038,1,Ana Martinez Diaz,48736657,46,926690465,Lambayeque,Chiclayo,Monsefú,"A.H. Diego Ferré Mz. I Lte. 16, Monsefú",Asesor - Ana Paredes,1,1,2023-01-03 13:38:00,2023-01-03 16:38:00,Aprobado,,2023-01-05,2023-01-05,Instalado
ORD-000039,1,Katia Gomez Flores,15399803,66,933513701,Lambayeque,Chiclayo,Pátapo,"Jr. Grau Nro. 1885, Pátapo",Asesor - Carlos Ruiz,1,1,2023-01-03 15:22:00,2023-01-03 19:22:00,Aprobado,,2023-01-05,2023-01-05,Instalado
ORD-000040,1,Manuel Castro Mendoza,48683937,60,963747791,Lambayeque,Lambayeque,Lambayeque,"Jr. Luis Gonzales Nro. 1424, Lambayeque",Asesor - Luis Delgado,0,1,2023-01-03 08:42:00,2023-01-03 12:42:00,Aprobado,,2023-01-05,2023-01-05,Instalado
ORD-000041,1,Carmen Mendoza Romero,16927215,31,945843681,Lambayeque,Chiclayo,Monsefú,"Pje. Bolognesi Nro. 218, Monsefú",Asesor - Maria Mendoza,3,1,2023-01-03 10:19:00,2023-01-03 11:19:00,Aprobado,,2023-01-05,2023-01-05,Instalado
ORD-000042,1,Maria Garcia Mendoza,49172995,50,946698468,Lambayeque,Chiclayo,Eten,"Urb. Los Parques Mz. G Lte. 7, Eten",Asesor - Maria Mendoza,3,1,2023-01-03 09:17:00,2023-01-03 13:17:00,Aprobado,,2023-01-05,2023-01-05,Instalado
ORD-000043,1,Sofia Mendoza Garcia,69934576,52,975007200,Lambayeque,Chiclayo,Puerto Eten,"Urb. San Juan Mz. D Lte. 23, Puerto Eten",Asesor - Ana Paredes,1,0,2023-01-03 08:20:00,2023-01-03 12:20:00,Devuelto a Correccion,Teléfono de Contacto Erróneo,,,En Proceso
ORD-000043,2,Sofia Mendoza Garcia,69934576,52,975007200,Lambayeque,Chiclayo,Puerto Eten,"Urb. San Juan Mz. D Lte. 23, Puerto Eten",Asesor - Ana Paredes,1,0,2023-01-04 11:20:00,2023-01-04 14:20:00,Aprobado (Recuperado),,2023-01-06,2023-01-06,Instalado (Recuperado)
ORD-000044,1,Ana Garcia Vargas,23470708,73,969096899,Lambayeque,Chiclayo,Eten,"Ca. Arequipa Nro. 732, Eten",Asesor - Jorge Silva,0,1,2023-01-03 13:39:00,2023-01-03 17:39:00,Aprobado,,2023-01-05,2023-01-05,Instalado
ORD-000045,1,Christian Vasquez Vargas,75491202,73,982613940,Lambayeque,Chiclayo,La Victoria,"Jr. Salaverry Nro. 470, La Victoria",Asesor - Sofia Castro,1,0,2023-01-04 09:28:00,2023-01-04 11:28:00,Devuelto a Correccion,Dirección Incorrecta / Incompleta,,,En Proceso
ORD-000045,2,Christian Vasquez Vargas,75491202,73,982613940,Lambayeque,Chiclayo,La Victoria,"Jr. Salaverry Nro. 470, La Victoria",Asesor - Sofia Castro,1,0,2023-01-04 14:28:00,2023-01-04 16:28:00,Aprobado (Recuperado),,2023-01-06,2023-01-06,Instalado (Recuperado)
ORD-000046,1,Jose Garcia Torres,65304649,54,934166826,Lambayeque,Chiclayo,La Victoria,"Urb. La Primavera Mz. H Lte. 30, La Victoria",Asesor - Sofia Castro,1,0,2023-01-04 12:29:00,2023-01-04 15:29:00,Devuelto a Correccion,Teléfono de Contacto Erróneo,,,En Proceso
ORD-000046,2,Jose Garcia Torres,65304649,54,934166826,Lambayeque,Chiclayo,La Victoria,"Urb. La Primavera Mz. H Lte. 30, La Victoria",Asesor - Sofia Castro,1,0,2023-01-05 14:29:00,2023-01-05 17:29:00,Rechazado Definitivo,No Subsano Correccion / Cliente Desistio,,,Cancelado/Rechazado
ORD-000047,1,Lucia Rodriguez Romero,56381032,55,950151803,Lambayeque,Chiclayo,Santa Rosa,"Urb. San Eduardo Mz. D Lte. 13, Santa Rosa",Asesor - Ana Paredes,2,0,2023-01-04 17:22:00,2023-01-04 20:22:00,Rechazado Definitivo,Exceso de Equipos Solicitados,,,Rechazado
ORD-000048,1,Carlos Vasquez Flores,11086890,54,916582607,Lambayeque,Ferreñafe,Pitipo,"A.H. Urrunaga Mz. M Lte. 8, Pitipo",Asesor - Sofia Castro,1,0,2023-01-04 11:39:00,2023-01-04 14:39:00,Devuelto a Correccion,Mala Oferta / Error en Precios,,,En Proceso
ORD-000048,2,Carlos Vasquez Flores,11086890,54,916582607,Lambayeque,Ferreñafe,Pitipo,"A.H. Urrunaga Mz. M Lte. 8, Pitipo",Asesor - Sofia Castro,1,0,2023-01-05 13:39:00,2023-01-05 14:39:00,Rechazado Definitivo,No Subsano Correccion / Cliente Desistio,,,Cancelado/Rechazado
ORD-000049,1,Maria Perez Diaz,69166287,20,987789079,Lambayeque,Chiclayo,José Leonardo Ortiz,"Jr. Pedro Cieza Nro. 1801, José Leonardo Ortiz",Asesor - Luis Delgado,1,0,2023-01-04 13:33:00,2023-01-04 16:33:00,Devuelto a Correccion,Teléfono de Contacto Erróneo,,,En Proceso
ORD-000049,2,Maria Perez Diaz,69166287,20,987789079,Lambayeque,Chiclayo,José Leonardo Ortiz,"Jr. Pedro Cieza Nro. 1801, José Leonardo Ortiz",Asesor - Luis Delgado,1,0,2023-01-05 09:33:00,2023-01-05 11:33:00,Rechazado Definitivo,No Subsano Correccion / Cliente Desistio,,,Cancelado/Rechazado
ORD-000050,1,Manuel Lopez Romero,20106509,27,940281491,Lambayeque,Lambayeque,Olmos,"A.H. UPIS Belén Mz. B Lte. 26, Olmos",Asesor - Carlos Ruiz,1,0,2023-01-04 15:23:00,2023-01-04 18:23:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000051,1,Elena Mendoza Gomez,54024257,57,939711402,Lambayeque,Chiclayo,Pátapo,"A.H. UPIS Belén Mz. K Lte. 14, Pátapo",Asesor - Carlos Ruiz,0,0,2023-01-04 12:31:00,2023-01-04 13:31:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000052,1,Jorge Vasquez Romero,59796322,60,982503409,Lambayeque,Chiclayo,José Leonardo Ortiz,"A.H. Urrunaga Mz. H Lte. 20, José Leonardo Ortiz",Asesor - Carlos Ruiz,1,2,2023-01-04 13:13:00,2023-01-04 17:13:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000053,1,Carmen Rojas Perez,63437398,35,935475673,Lambayeque,Ferreñafe,Pitipo,"Ca. Unión Nro. 187, Pitipo",Asesor - Maria Mendoza,0,0,2023-01-04 17:13:00,2023-01-04 18:13:00,Devuelto a Correccion,Mala Oferta / Error en Precios,,,En Proceso
ORD-000053,2,Carmen Rojas Perez,63437398,35,935475673,Lambayeque,Ferreñafe,Pitipo,"Ca. Unión Nro. 187, Pitipo",Asesor - Maria Mendoza,0,0,2023-01-05 02:13:00,2023-01-05 03:13:00,Aprobado (Recuperado),,2023-01-07,2023-01-07,Instalado (Recuperado)
ORD-000054,1,Jorge Gomez Flores,29419691,26,982506491,Lambayeque,Chiclayo,José Leonardo Ortiz,"Av. Grau Nro. 160, José Leonardo Ortiz",Asesor - Luis Delgado,1,1,2023-01-04 13:01:00,2023-01-04 15:01:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000055,1,Fiorella Lopez Rodriguez,73920651,46,958592048,Lambayeque,Chiclayo,La Victoria,"Ca. Chinchaysuyo Nro. 277, La Victoria",Asesor - Sofia Castro,2,2,2023-01-04 16:19:00,2023-01-04 20:19:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000056,1,Jose Lopez Mendoza,69533928,22,920843514,Lambayeque,Chiclayo,José Leonardo Ortiz,"Jr. Chinchaysuyo Nro. 2346, José Leonardo Ortiz",Asesor - Luis Delgado,2,0,2023-01-04 16:18:00,2023-01-04 20:18:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000057,1,Maria Sanchez Castro,70606674,74,940667888,Lambayeque,Chiclayo,Eten,"Av. Pedro Cieza Nro. 1848, Eten",Asesor - Maria Mendoza,1,0,2023-01-04 18:59:00,2023-01-04 22:59:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000058,1,Jose Lopez Rojas,27463800,53,918050510,Lambayeque,Chiclayo,Puerto Eten,"Av. Arequipa Nro. 1548, Puerto Eten",Asesor - Ana Paredes,2,2,2023-01-04 08:18:00,2023-01-04 11:18:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000059,1,Patricia Torres Lopez,56991504,72,984660688,Lambayeque,Chiclayo,Monsefú,"Pje. Huamachuco Nro. 2397, Monsefú",Asesor - Luis Delgado,3,1,2023-01-04 18:41:00,2023-01-04 19:41:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000060,1,Sofia Vargas Rojas,10819505,29,929226889,Lambayeque,Chiclayo,Santa Rosa,"Av. Bolognesi Nro. 2272, Santa Rosa",Asesor - Jorge Silva,1,1,2023-01-04 10:23:00,2023-01-04 13:23:00,Devuelto a Correccion,Mala Oferta / Error en Precios,,,En Proceso
ORD-000060,2,Sofia Vargas Rojas,10819505,29,929226889,Lambayeque,Chiclayo,Santa Rosa,"Av. Bolognesi Nro. 2272, Santa Rosa",Asesor - Jorge Silva,1,1,2023-01-04 16:23:00,2023-01-04 17:23:00,Aprobado (Recuperado),,2023-01-06,2023-01-06,Instalado (Recuperado)
ORD-000061,1,Ana Rodriguez Flores,69473616,60,966910299,Lambayeque,Chiclayo,Eten,"Ca. Sican Nro. 2198, Eten",Asesor - Jorge Silva,0,1,2023-01-04 18:43:00,2023-01-04 22:43:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000062,1,Elena Vasquez Perez,11031743,31,950455821,Lambayeque,Ferreñafe,Pueblo Nuevo,"Urb. Patios del Norte Mz. A Lte. 16, Pueblo Nuevo",Asesor - Ana Paredes,2,0,2023-01-04 16:45:00,2023-01-04 18:45:00,Aprobado,,2023-01-06,2023-01-06,Instalado
ORD-000063,1,Ana Castro Gomez,71707170,22,952018286,Lambayeque,Chiclayo,Pomalca,"Pje. Luis Gonzales Nro. 571, Pomalca",Asesor - Maria Mendoza,1,2,2023-01-05 17:29:00,2023-01-05 20:29:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000064,1,Rosa Rodriguez Vasquez,51644346,65,955568701,Lambayeque,Chiclayo,José Leonardo Ortiz,"Av. Sáenz Peña Nro. 2188, José Leonardo Ortiz",Asesor - Jorge Silva,1,1,2023-01-05 18:52:00,2023-01-05 20:52:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000065,1,Lucia Garcia Rodriguez,33776150,67,994281857,Lambayeque,Chiclayo,Pomalca,"Urb. San Juan Mz. K Lte. 11, Pomalca",Asesor - Ana Paredes,1,0,2023-01-05 18:19:00,2023-01-05 21:19:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000066,1,Luis Diaz Romero,70654852,20,917635653,Lambayeque,Chiclayo,Monsefú,"Av. Chinchaysuyo Nro. 2176, Monsefú",Asesor - Sofia Castro,1,1,2023-01-05 08:28:00,2023-01-05 10:28:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000067,1,Ana Romero Lopez,56095437,63,921318464,Lambayeque,Chiclayo,José Leonardo Ortiz,"Pje. Tacna Nro. 2246, José Leonardo Ortiz",Asesor - Jorge Silva,1,0,2023-01-05 12:24:00,2023-01-05 16:24:00,Devuelto a Correccion,Mala Oferta / Error en Precios,,,En Proceso
ORD-000067,2,Ana Romero Lopez,56095437,63,921318464,Lambayeque,Chiclayo,José Leonardo Ortiz,"Pje. Tacna Nro. 2246, José Leonardo Ortiz",Asesor - Jorge Silva,1,0,2023-01-06 14:24:00,2023-01-06 17:24:00,Aprobado (Recuperado),,2023-01-08,2023-01-08,Instalado (Recuperado)
ORD-000068,1,Manuel Lopez Vasquez,48137561,34,998122539,Lambayeque,Ferreñafe,Pueblo Nuevo,"Ca. Pedro Cieza Nro. 1370, Pueblo Nuevo",Asesor - Ana Paredes,3,1,2023-01-05 10:38:00,2023-01-05 11:38:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000069,1,Jorge Rodriguez Castro,78248169,41,912446861,Lambayeque,Chiclayo,José Leonardo Ortiz,"Urb. Las Brisas Mz. D Lte. 8, José Leonardo Ortiz",Asesor - Jorge Silva,3,0,2023-01-05 09:32:00,2023-01-05 10:32:00,Devuelto a Correccion,Mala Oferta / Error en Precios,,,En Proceso
ORD-000069,2,Jorge Rodriguez Castro,78248169,41,912446861,Lambayeque,Chiclayo,José Leonardo Ortiz,"Urb. Las Brisas Mz. D Lte. 8, José Leonardo Ortiz",Asesor - Jorge Silva,3,0,2023-01-06 00:32:00,2023-01-06 01:32:00,Aprobado (Recuperado),,2023-01-08,2023-01-08,Instalado (Recuperado)
ORD-000070,1,Fernando Martinez Romero,15864298,44,958895439,Lambayeque,Chiclayo,Pimentel,"A.H. Urrunaga Mz. L Lte. 26, Pimentel",Asesor - Jorge Silva,1,1,2023-01-05 15:57:00,2023-01-05 17:57:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000071,1,Sofia Vasquez Castro,31751079,70,936802975,Lambayeque,Lambayeque,Túcume,"Urb. Las Brisas Mz. F Lte. 18, Túcume",Asesor - Luis Delgado,3,1,2023-01-05 09:18:00,2023-01-05 10:18:00,Devuelto a Correccion,Teléfono de Contacto Erróneo,,,En Proceso
ORD-000071,2,Sofia Vasquez Castro,31751079,70,936802975,Lambayeque,Lambayeque,Túcume,"Urb. Las Brisas Mz. F Lte. 18, Túcume",Asesor - Luis Delgado,3,1,2023-01-06 04:18:00,2023-01-06 05:18:00,Aprobado (Recuperado),,2023-01-08,2023-01-08,Instalado (Recuperado)
ORD-000072,1,Carmen Gomez Castro,17148018,43,977378254,Lambayeque,Chiclayo,Santa Rosa,"Urb. Santa Victoria Mz. F Lte. 30, Santa Rosa",Asesor - Jorge Silva,0,1,2023-01-05 10:08:00,2023-01-05 11:08:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000073,1,Jorge Mendoza Romero,10704803,75,920633503,Lambayeque,Chiclayo,Pimentel,"A.H. Nuevo San Lorenzo Mz. J Lte. 17, Pimentel",Asesor - Maria Mendoza,1,1,2023-01-05 12:07:00,2023-01-05 13:07:00,Aprobado,,2023-01-07,2023-01-07,Instalado
ORD-000074,1,Maria Mendoza Gomez,79172559,54,942472386,Lambayeque,Lambayeque,Pacora,"Jr. Salaverry Nro. 1806, Pacora",Asesor - Luis Delgado,1,1,2023-01-05 13:04:00,2023-01-05 14:04:00,Aprobado,,2023-01-07,2023-01-07,Instalado
