Despacho,Orden,Cliente,Distrito,Tecnico,Decos_Series,Repetidores_Series,Fecha_Despacho,Estado_Almacen
DESP-000051,ORD-000064,Rosa Rodriguez Vasquez,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-368402,REP-306854,2023-01-06,Entregado a Tecnico
DESP-000052,ORD-000065,Lucia Garcia Rodriguez,Pomalca,Cuadrilla Pimentel / Costa - C-03,DEC-631981,,2023-01-06,Entregado a Tecnico
DESP-000053,ORD-000066,Luis Diaz Romero,Monsefú,Cuadrilla Lambayeque Norte - C-04,DEC-625721,REP-258189,2023-01-06,Entregado a Tecnico
DESP-000054,ORD-000067,Ana Romero Lopez,José Leonardo Ortiz,Cuadrilla Pimentel / Costa - C-03,DEC-169113,,2023-01-07,Entregado a Tecnico
DESP-000055,ORD-000068,Manuel Lopez Vasquez,Pueblo Nuevo,Cuadrilla Lambayeque Norte - C-04,"DEC-774751, DEC-930117, DEC-444432",REP-952686,2023-01-06,Entregado a Tecnico
DESP-000056,ORD-000069,Jorge Rodriguez Castro,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,"DEC-289630, DEC-971728, DEC-826501",,2023-01-07,Entregado a Tecnico
DESP-000057,ORD-000070,Fernando Martinez Romero,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-561999,REP-584106,2023-01-06,Entregado a Tecnico
DESP-000058,ORD-000071,Sofia Vasquez Castro,Túcume,Cuadrilla Lambayeque Norte - C-04,"DEC-196168, DEC-332823, DEC-956375",REP-573041,2023-01-07,Entregado a Tecnico
DESP-000059,ORD-000072,Carmen Gomez Castro,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,,REP-829884,2023-01-06,Entregado a Tecnico
DESP-000060,ORD-000073,Jorge Mendoza Romero,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-579318,REP-165858,2023-01-06,Entregado a Tecnico
DESP-000061,ORD-000074,Maria Mendoza Gomez,Pacora,Cuadrilla Lambayeque Norte - C-04,DEC-145649,REP-766549,2023-01-06,Entregado a Tecnico
DESP-000062,ORD-000076,Lucia Garcia Rodriguez,Pimentel,Cuadrilla Chiclayo Centro - C-01,"DEC-787584, DEC-448048, DEC-386488",REP-230521,2023-01-06,Entregado a Tecnico
DESP-000063,ORD-000077,Carmen Castro Vasquez,José Leonardo Ortiz,Cuadrilla Pimentel / Costa - C-03,DEC-207581,,2023-01-06,Entregado a Tecnico
DESP-000064,ORD-000078,Luis Vargas Diaz,Túcume,Cuadrilla Lambayeque Norte - C-04,"DEC-480959, DEC-638009, DEC-940010",REP-886325,2023-01-06,Entregado a Tecnico
DESP-000065,ORD-000079,Lucia Gomez Garcia,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-484774,REP-517368,2023-01-06,Entregado a Tecnico
DESP-000066,ORD-000080,Manuel Flores Torres,Santa Rosa,Cuadrilla Chiclayo Centro - C-01,DEC-574001,REP-281043,2023-01-06,Entregado a Tecnico
DESP-000067,ORD-000082,Patricia Gomez Rojas,La Victoria,Cuadrilla Lambayeque Norte - C-04,DEC-588461,REP-813145,2023-01-07,Entregado a Tecnico
DESP-000068,ORD-000083,Fiorella Rojas Garcia,Chiclayo,Cuadrilla La Victoria / JLO - C-02,DEC-755383,REP-417534,2023-01-08,Entregado a Tecnico
DESP-000069,ORD-000084,Fernando Rodriguez Martinez,Pomalca,Cuadrilla Ferreñafe - C-05,,"REP-403742, REP-773088",2023-01-07,Entregado a Tecnico
DESP-000070,ORD-000086,Carmen Lopez Vargas,Pimentel,Cuadrilla La Victoria / JLO - C-02,"DEC-622469, DEC-639728",REP-589491,2023-01-07,Entregado a Tecnico
DESP-000071,ORD-000087,Patricia Diaz Mendoza,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-551860,REP-240440,2023-01-07,Entregado a Tecnico
DESP-000072,ORD-000088,Diego Rojas Vasquez,Puerto Eten,Cuadrilla Chiclayo Centro - C-01,DEC-513037,REP-491326,2023-01-07,Entregado a Tecnico
DESP-000073,ORD-000089,Manuel Rojas Garcia,Chiclayo,Cuadrilla Ferreñafe - C-05,"DEC-434002, DEC-270395",REP-512042,2023-01-07,Entregado a Tecnico
DESP-000074,ORD-000090,Fernando Diaz Vargas,Pomalca,Cuadrilla Pimentel / Costa - C-03,DEC-787436,"REP-920934, REP-913864",2023-01-07,Entregado a Tecnico
DESP-000075,ORD-000091,Katia Torres Perez,Pomalca,Cuadrilla La Victoria / JLO - C-02,"DEC-530311, DEC-626195, DEC-912617",,2023-01-07,Entregado a Tecnico
DESP-000076,ORD-000092,Fernando Mendoza Perez,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-358494,REP-392559,2023-01-07,Entregado a Tecnico
DESP-000077,ORD-000093,Sofia Torres Diaz,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-463188,REP-563864,2023-01-09,Entregado a Tecnico
DESP-000078,ORD-000094,Diego Mendoza Sanchez,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,DEC-205428,REP-814281,2023-01-08,Entregado a Tecnico
DESP-000079,ORD-000097,Diego Sanchez Lopez,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,DEC-293757,REP-247442,2023-01-09,Entregado a Tecnico
DESP-000080,ORD-000098,Patricia Vargas Torres,Monsefú,Cuadrilla Ferreñafe - C-05,DEC-837733,,2023-01-08,Entregado a Tecnico
DESP-000081,ORD-000100,Javier Rojas Rodriguez,Pueblo Nuevo,Cuadrilla Ferreñafe - C-05,"DEC-567122, DEC-947975",REP-158338,2023-01-08,Entregado a Tecnico
DESP-000082,ORD-000102,Ana Diaz Castro,Olmos,Cuadrilla Ferreñafe - C-05,DEC-512151,REP-654531,2023-01-08,Entregado a Tecnico
DESP-000083,ORD-000103,Jorge Torres Gomez,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,DEC-744793,,2023-01-08,Entregado a Tecnico
DESP-000084,ORD-000104,Carlos Torres Sanchez,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-434394,,2023-01-08,Entregado a Tecnico
DESP-000085,ORD-000105,Katia Vargas Torres,Pueblo Nuevo,Cuadrilla Chiclayo Centro - C-01,"DEC-461145, DEC-774565, DEC-803953","REP-499669, REP-923975",2023-01-08,Entregado a Tecnico
DESP-000086,ORD-000106,Fiorella Vargas Castro,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,"DEC-313214, DEC-446305","REP-778120, REP-182911",2023-01-08,Entregado a Tecnico
DESP-000087,ORD-000107,Javier Rojas Rodriguez,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-322096,REP-299254,2023-01-08,Entregado a Tecnico
DESP-000088,ORD-000109,Ana Torres Garcia,Pitipo,Cuadrilla Lambayeque Norte - C-04,DEC-858705,REP-772865,2023-01-09,Entregado a Tecnico
DESP-000089,ORD-000110,Patricia Romero Martinez,Motupe,Cuadrilla La Victoria / JLO - C-02,"DEC-171269, DEC-841521",,2023-01-09,Entregado a Tecnico
DESP-000090,ORD-000111,Jorge Gomez Sanchez,Pátapo,Cuadrilla Pimentel / Costa - C-03,,REP-117975,2023-01-09,Entregado a Tecnico
DESP-000091,ORD-000116,Carlos Flores Romero,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,"DEC-211726, DEC-195966",REP-105447,2023-01-10,Entregado a Tecnico
DESP-000092,ORD-000118,Sofia Castro Vasquez,Pueblo Nuevo,Cuadrilla Pimentel / Costa - C-03,DEC-541557,,2023-01-09,Entregado a Tecnico
DESP-000093,ORD-000119,Sofia Mendoza Rodriguez,Motupe,Cuadrilla Ferreñafe - C-05,,,2023-01-10,Entregado a Tecnico
DESP-000094,ORD-000120,Jorge Diaz Vargas,Santa Rosa,Cuadrilla Ferreñafe - C-05,DEC-288667,,2023-01-09,Entregado a Tecnico
DESP-000095,ORD-000121,Christian Gomez Romero,Mochumí,Cuadrilla Ferreñafe - C-05,,,2023-01-10,Entregado a Tecnico
DESP-000096,ORD-000124,Maria Diaz Castro,Reque,Cuadrilla Chiclayo Centro - C-01,DEC-123682,,2023-01-10,Entregado a Tecnico
DESP-000097,ORD-000125,Manuel Lopez Martinez,Reque,Cuadrilla Chiclayo Centro - C-01,DEC-838968,,2023-01-11,Entregado a Tecnico
DESP-000098,ORD-000126,Pedro Sanchez Flores,Túcume,Cuadrilla Ferreñafe - C-05,DEC-219781,"REP-464825, REP-469082",2023-01-10,Entregado a Tecnico
DESP-000099,ORD-000127,Javier Martinez Diaz,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-827117,REP-776604,2023-01-10,Entregado a Tecnico
DESP-000100,ORD-000128,Lucia Martinez Mendoza,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-535820,,2023-01-10,Entregado a Tecnico
DESP-000101,ORD-000129,Javier Mendoza Martinez,Íllimo,Cuadrilla Pimentel / Costa - C-03,DEC-912764,REP-669488,2023-01-10,Entregado a Tecnico
DESP-000102,ORD-000130,Carmen Perez Romero,Íllimo,Cuadrilla Ferreñafe - C-05,DEC-822608,REP-467663,2023-01-10,Entregado a Tecnico
DESP-000103,ORD-000132,Jorge Castro Perez,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,"DEC-573947, DEC-179184",REP-764406,2023-01-10,Entregado a Tecnico
DESP-000104,ORD-000134,Patricia Flores Vargas,Pomalca,Cuadrilla Chiclayo Centro - C-01,,REP-548580,2023-01-10,Entregado a Tecnico
DESP-000105,ORD-000135,Pedro Garcia Diaz,Reque,Cuadrilla Ferreñafe - C-05,,REP-337178,2023-01-10,Entregado a Tecnico
DESP-000106,ORD-000136,Fiorella Romero Gomez,Olmos,Cuadrilla La Victoria / JLO - C-02,"DEC-772741, DEC-810029",,2023-01-10,Entregado a Tecnico
DESP-000107,ORD-000137,Jorge Rodriguez Gomez,Túcume,Cuadrilla Lambayeque Norte - C-04,"DEC-429780, DEC-929504",,2023-01-10,Entregado a Tecnico
DESP-000108,ORD-000138,Jorge Torres Flores,Pomalca,Cuadrilla Lambayeque Norte - C-04,DEC-769077,REP-722780,2023-01-10,Entregado a Tecnico
DESP-000109,ORD-000139,Luis Gomez Rojas,Olmos,Cuadrilla Chiclayo Centro - C-01,"DEC-163406, DEC-927630, DEC-517307",REP-631219,2023-01-10,Entregado a Tecnico
DESP-000110,ORD-000140,Sofia Castro Castro,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-425236,,2023-01-10,Entregado a Tecnico
DESP-000111,ORD-000141,Jose Torres Perez,Pomalca,Cuadrilla La Victoria / JLO - C-02,"DEC-886197, DEC-919067",REP-381819,2023-01-10,Entregado a Tecnico
DESP-000112,ORD-000143,Fiorella Gomez Perez,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,"DEC-384434, DEC-966120, DEC-181670",REP-699298,2023-01-11,Entregado a Tecnico
DESP-000113,ORD-000144,Carmen Lopez Perez,Pitipo,Cuadrilla Pimentel / Costa - C-03,"DEC-691194, DEC-922615",,2023-01-11,Entregado a Tecnico
DESP-000114,ORD-000146,Rosa Diaz Lopez,Chiclayo,Cuadrilla Chiclayo Centro - C-01,"DEC-708982, DEC-200219, DEC-629979","REP-239999, REP-768169",2023-01-11,Entregado a Tecnico
DESP-000115,ORD-000147,Rosa Rodriguez Perez,Monsefú,Cuadrilla Ferreñafe - C-05,"DEC-214266, DEC-262959",,2023-01-11,Entregado a Tecnico
DESP-000116,ORD-000148,Maria Martinez Romero,Reque,Cuadrilla Pimentel / Costa - C-03,"DEC-255528, DEC-195643",,2023-01-11,Entregado a Tecnico
DESP-000117,ORD-000149,Elena Rojas Vasquez,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,DEC-970708,REP-918895,2023-01-11,Entregado a Tecnico
DESP-000118,ORD-000150,Elena Garcia Sanchez,Ferreñafe,Cuadrilla Pimentel / Costa - C-03,,,2023-01-11,Entregado a Tecnico
DESP-000119,ORD-000154,Elena Flores Perez,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,"DEC-977340, DEC-949767, DEC-616137",,2023-01-12,Entregado a Tecnico
DESP-000120,ORD-000156,Ana Gomez Garcia,Jayanca,Cuadrilla La Victoria / JLO - C-02,DEC-841535,,2023-01-12,Entregado a Tecnico
DESP-000121,ORD-000158,Katia Lopez Mendoza,Reque,Cuadrilla Lambayeque Norte - C-04,DEC-274418,,2023-01-13,Entregado a Tecnico
DESP-000122,ORD-000159,Jose Mendoza Vasquez,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-177804,,2023-01-12,Entregado a Tecnico
DESP-000123,ORD-000160,Manuel Martinez Vasquez,La Victoria,Cuadrilla La Victoria / JLO - C-02,DEC-299212,REP-529161,2023-01-12,Entregado a Tecnico
DESP-000124,ORD-000161,Christian Flores Diaz,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-317005,REP-279130,2023-01-12,Entregado a Tecnico
DESP-000125,ORD-000162,Sofia Rodriguez Mendoza,Pátapo,Cuadrilla La Victoria / JLO - C-02,"DEC-977740, DEC-381607",,2023-01-12,Entregado a Tecnico
DESP-000126,ORD-000163,Katia Perez Garcia,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,"DEC-599397, DEC-413369",REP-182790,2023-01-12,Entregado a Tecnico
DESP-000127,ORD-000164,Rosa Perez Garcia,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,,REP-191254,2023-01-12,Entregado a Tecnico
DESP-000128,ORD-000167,Elena Perez Mendoza,Monsefú,Cuadrilla Lambayeque Norte - C-04,"DEC-734366, DEC-776913, DEC-193624",,2023-01-13,Entregado a Tecnico
DESP-000129,ORD-000168,Pedro Romero Sanchez,Jayanca,Cuadrilla La Victoria / JLO - C-02,"DEC-977633, DEC-160426",REP-361609,2023-01-13,Entregado a Tecnico
DESP-000130,ORD-000169,Ana Romero Perez,Eten,Cuadrilla Pimentel / Costa - C-03,DEC-460971,REP-271456,2023-01-13,Entregado a Tecnico
DESP-000131,ORD-000170,Diego Rodriguez Diaz,Pomalca,Cuadrilla La Victoria / JLO - C-02,DEC-778818,,2023-01-13,Entregado a Tecnico
DESP-000132,ORD-000171,Lucia Gomez Torres,Pacora,Cuadrilla Chiclayo Centro - C-01,DEC-636361,,2023-01-13,Entregado a Tecnico
DESP-000133,ORD-000174,Fiorella Diaz Martinez,Monsefú,Cuadrilla Pimentel / Costa - C-03,DEC-489737,,2023-01-13,Entregado a Tecnico
DESP-000134,ORD-000175,Diego Diaz Romero,Mochumí,Cuadrilla La Victoria / JLO - C-02,"DEC-459315, DEC-529068",,2023-01-13,Entregado a Tecnico
DESP-000135,ORD-000176,Katia Romero Garcia,Motupe,Cuadrilla Chiclayo Centro - C-01,,,2023-01-13,Entregado a Tecnico
DESP-000136,ORD-000177,Jorge Castro Castro,Chiclayo,Cuadrilla Pimentel / Costa - C-03,"DEC-427252, DEC-235193",REP-207697,2023-01-13,Entregado a Tecnico
DESP-000137,ORD-000178,Rosa Diaz Martinez,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-862491,"REP-237579, REP-321449",2023-01-13,Entregado a Tecnico
DESP-000138,ORD-000179,Carlos Martinez Lopez,Olmos,Cuadrilla Lambayeque Norte - C-04,DEC-229598,REP-673867,2023-01-14,Entregado a Tecnico
DESP-000139,ORD-000180,Diego Mendoza Garcia,Santa Rosa,Cuadrilla Chiclayo Centro - C-01,"DEC-621917, DEC-308296",REP-738584,2023-01-14,Entregado a Tecnico
DESP-000140,ORD-000181,Pedro Flores Sanchez,Chiclayo,Cuadrilla Chiclayo Centro - C-01,DEC-858711,,2023-01-14,Entregado a Tecnico
DESP-000141,ORD-000182,Maria Flores Torres,La Victoria,Cuadrilla La Victoria / JLO - C-02,"DEC-795578, DEC-778636",,2023-01-14,Entregado a Tecnico
DESP-000142,ORD-000184,Jorge Perez Martinez,Pomalca,Cuadrilla Lambayeque Norte - C-04,DEC-562094,"REP-148205, REP-166412",2023-01-14,Entregado a Tecnico
DESP-000143,ORD-000185,Diego Vargas Gomez,Pomalca,Cuadrilla La Victoria / JLO - C-02,DEC-630126,REP-990079,2023-01-14,Entregado a Tecnico
DESP-000144,ORD-000186,Patricia Mendoza Martinez,Reque,Cuadrilla Lambayeque Norte - C-04,DEC-568784,REP-431414,2023-01-14,Entregado a Tecnico
DESP-000145,ORD-000187,Maria Mendoza Gomez,Puerto Eten,Cuadrilla Chiclayo Centro - C-01,"DEC-956255, DEC-333746",REP-985331,2023-01-14,Entregado a Tecnico
DESP-000146,ORD-000188,Javier Vargas Mendoza,Pátapo,Cuadrilla Lambayeque Norte - C-04,DEC-212157,,2023-01-14,Entregado a Tecnico
DESP-000147,ORD-000190,Fiorella Perez Castro,José Leonardo Ortiz,Cuadrilla Pimentel / Costa - C-03,DEC-408463,,2023-01-14,Entregado a Tecnico
DESP-000148,ORD-000192,Fiorella Vargas Lopez,Pátapo,Cuadrilla Chiclayo Centro - C-01,"DEC-802812, DEC-159354",REP-309612,2023-01-14,Entregado a Tecnico
DESP-000149,ORD-000193,Diego Martinez Diaz,Monsefú,Cuadrilla Pimentel / Costa - C-03,,"REP-826596, REP-796772",2023-01-15,Entregado a Tecnico
DESP-000150,ORD-000194,Ana Vasquez Vasquez,Ferreñafe,Cuadrilla Chiclayo Centro - C-01,"DEC-296059, DEC-282237","REP-870786, REP-638807",2023-01-15,Entregado a Tecnico
DESP-000151,ORD-000195,Maria Vasquez Perez,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,DEC-984096,"REP-794042, REP-415783",2023-01-14,Entregado a Tecnico
DESP-000152,ORD-000196,Patricia Rojas Rodriguez,Ferreñafe,Cuadrilla Ferreñafe - C-05,DEC-656268,,2023-01-14,Entregado a Tecnico
DESP-000153,ORD-000197,Patricia Gomez Lopez,Pueblo Nuevo,Cuadrilla Ferreñafe - C-05,"DEC-962043, DEC-907921",,2023-01-14,Entregado a Tecnico
DESP-000154,ORD-000199,Maria Sanchez Castro,Reque,Cuadrilla Lambayeque Norte - C-04,"DEC-760830, DEC-524094",REP-554059,2023-01-15,Entregado a Tecnico
DESP-000155,ORD-000200,Manuel Gomez Vasquez,Pomalca,Cuadrilla Lambayeque Norte - C-04,DEC-499941,REP-514306,2023-01-15,Entregado a Tecnico
DESP-000156,ORD-000201,Carlos Mendoza Martinez,Pacora,Cuadrilla Chiclayo Centro - C-01,"DEC-419491, DEC-320256",,2023-01-15,Entregado a Tecnico
DESP-000157,ORD-000202,Carmen Sanchez Castro,Pomalca,Cuadrilla Chiclayo Centro - C-01,DEC-362865,,2023-01-15,Entregado a Tecnico
DESP-000158,ORD-000203,Maria Sanchez Mendoza,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-946934,,2023-01-15,Entregado a Tecnico
DESP-000159,ORD-000204,Manuel Castro Martinez,Olmos,Cuadrilla Ferreñafe - C-05,"DEC-185955, DEC-982683",REP-394247,2023-01-15,Entregado a Tecnico
